gene_id	gene_name	npeaks_ve	npeaks_tx	npeaks_diff	fpmk_48h	fpmk_con	fpmk_diff
ENSG00000002822	MAD1L1	92	3	89	15.76	22.17	6.41
ENSG00000155093	PTPRN2	93	11	82	2.33	2.8	0.47
ENSG00000127663	KDM4B	80	16	64	19.42	26.25	6.83
ENSG00000146540	C7orf50	67	9	58	64.47	77.87	13.4
ENSG00000138814	PPP3CA	58	5	53	196.93	210.07	13.14
ENSG00000112787	FBRSL1	60	9	51	42.15	69.25	27.1
ENSG00000177565	TBL1XR1	56	6	50	119.39	136.53	17.14
ENSG00000141564	RPTOR	52	2	50	8.12	12.17	4.05
ENSG00000185989	RASA3	52	4	48	1.67	4.01	2.34
ENSG00000141556	TBCD	54	7	47	51.99	76.28	24.29
ENSG00000103222	ABCC1	59	15	44	29.03	31.74	2.71
ENSG00000278540	ACACA	53	10	43	158.57	161.23	2.66
ENSG00000181090	EHMT1	50	7	43	26.27	29.83	3.56
ENSG00000196557	CACNA1H	49	6	43	0.66	0.81	0.15
ENSG00000104885	DOT1L	46	3	43	22.74	25.57	2.83
ENSG00000179588	ZFPM1	48	6	42	5.66	5.95	0.29
ENSG00000103227	LMF1	43	1	42	7.58	8.21	0.630000000000001
ENSG00000266074	BAHCC1	47	6	41	4.26	8.14	3.88
ENSG00000126217	MCF2L	51	11	40	5.6	11.71	6.11
ENSG00000135090	TAOK3	37	1	36	37.21	48.31	11.1
ENSG00000130940	CASZ1	68	33	35	31.54	35.4	3.86
ENSG00000178950	GAK	36	1	35	27.74	34.12	6.38
ENSG00000162591	MEGF6	41	7	34	1.83	2.23	0.4
ENSG00000054118	THRAP3	49	16	33	72.99	78.3	5.31
ENSG00000149527	PLCH2	40	7	33	1.05	1.58	0.53
ENSG00000151150	ANK3	40	7	33	54.57	136.61	82.04
ENSG00000155111	CDK19	41	9	32	20.23	21.8	1.57
ENSG00000187609	EXD3	40	8	32	2.98	3.31	0.33
ENSG00000143748	NVL	38	6	32	51.76	54.97	3.21
ENSG00000154358	OBSCN	32	0	32	1.95	6.39	4.44
ENSG00000067113	PLPP1	32	0	32	177.48	382.71	205.23
ENSG00000159842	ABR	43	13	30	21.57	30.24	8.67
ENSG00000178209	PLEC	38	8	30	20.32	29.12	8.8
ENSG00000188191	PRKAR1B	33	3	30	11.45	20.32	8.87
ENSG00000125257	ABCC4	50	21	29	23.77	52.41	28.64
ENSG00000186111	PIP5K1C	34	5	29	9.71	16.53	6.82
ENSG00000176533	GNG7	31	2	29	3.29	3.78	0.49
ENSG00000075043	KCNQ2	31	2	29	33.57	39.19	5.62
ENSG00000182095	TNRC18	30	1	29	17.26	20.45	3.19
ENSG00000130653	PNPLA7	38	10	28	4.01	6	1.99
ENSG00000177706	FAM20C	33	5	28	0.09	0.36	0.27
ENSG00000159788	RGS12	30	3	27	3.35	4	0.65
ENSG00000164880	INTS1	28	1	27	56.39	62.3	5.91
ENSG00000184304	PRKD1	30	4	26	28.47	34.89	6.42
ENSG00000163694	RBM47	27	1	26	19.62	20.16	0.539999999999999
ENSG00000065000	AP3D1	26	0	26	61.01	92.75	31.74
ENSG00000188385	JAKMIP3	33	8	25	1.39	2.14	0.75
ENSG00000173638	SLC19A1	32	7	25	8.06	21.06	13
ENSG00000172530	BANP	29	4	25	9.39	10.38	0.99
ENSG00000105426	PTPRS	29	4	25	19.38	30.59	11.21
ENSG00000198586	TLK1	29	4	25	28.48	40.78	12.3
ENSG00000022567	SLC45A4	29	4	25	3.65	4.17	0.52
ENSG00000175711	B3GNTL1	27	2	25	2.11	4.67	2.56
ENSG00000184640	SEPTIN9	30	6	24	90.02	98.72	8.7
ENSG00000174672	BRSK2	26	2	24	1.59	3.45	1.86
ENSG00000231607	DLEU2	25	1	24	1.67	2.43	0.76
ENSG00000088256	GNA11	25	1	24	27.41	31.47	4.06
ENSG00000261236	BOP1	25	1	24	26.13	51.85	25.72
ENSG00000140836	ZFHX3	47	24	23	5.05	6.93	1.88
ENSG00000130382	MLLT1	41	18	23	137.08	150.59	13.51
ENSG00000183337	BCOR	30	7	23	18.65	21.55	2.9
ENSG00000183020	AP2A2	26	3	23	56.95	80.33	23.38
ENSG00000114554	PLXNA1	26	3	23	4.25	6.95	2.7
ENSG00000148411	NACC2	26	3	23	3.44	6.45	3.01
ENSG00000188157	AGRN	25	2	23	32.87	36.15	3.28
ENSG00000106617	PRKAG2	25	2	23	9.12	11.78	2.66
ENSG00000172009	THOP1	24	1	23	36.23	75.63	39.4
ENSG00000145743	FBXL17	24	1	23	30.95	34.92	3.97
ENSG00000182870	GALNT9	23	0	23	0.04	0.13	0.09
ENSG00000087116	ADAMTS2	23	0	23	0.1	0.13	0.03
ENSG00000157933	SKI	34	12	22	32.75	32.84	0.0900000000000034
ENSG00000105738	SIPA1L3	29	7	22	10.84	11.17	0.33
ENSG00000169696	ASPSCR1	25	3	22	33.19	36.16	2.97
ENSG00000160299	PCNT	24	2	22	7.14	14.29	7.15
ENSG00000110660	SLC35F2	23	1	22	12.63	17.35	4.72
ENSG00000181409	AATK	23	1	22	2.18	2.23	0.0499999999999998
ENSG00000141012	GALNS	22	0	22	5.33	6.06	0.73
ENSG00000108175	ZMIZ1	29	8	21	26.48	38.34	11.86
ENSG00000075275	CELSR1	26	5	21	5.3	7.27	1.97
ENSG00000107331	ABCA2	26	5	21	68.51	74.08	5.56999999999999
ENSG00000226321	CROCC2	24	3	21	0.15	0.27	0.12
ENSG00000130723	PRRC2B	24	3	21	87.14	106.38	19.24
ENSG00000076554	TPD52	22	1	21	111.1	153.84	42.74
ENSG00000096060	FKBP5	30	10	20	25.14	135.98	110.84
ENSG00000164828	SUN1	27	7	20	38.05	46.58	8.53
ENSG00000068650	ATP11A	24	4	20	8.87	12.92	4.05
ENSG00000090316	MAEA	21	1	20	18.06	35.02	16.96
ENSG00000103326	CAPN15	20	0	20	22.86	43.42	20.56
ENSG00000157637	SLC38A10	20	0	20	12.08	25.93	13.85
ENSG00000120549	KIAA1217	24	5	19	10.18	13.42	3.24
ENSG00000066735	KIF26A	23	4	19	0.21	0.58	0.37
ENSG00000198589	LRBA	22	3	19	37.02	59.9	22.88
ENSG00000173599	PC	21	2	19	12.97	16.83	3.86
ENSG00000197971	MBP	21	2	19	16.5	18.66	2.16
ENSG00000066230	SLC9A3	21	2	19	0.82	2.48	1.66
ENSG00000164877	MICALL2	21	2	19	3.82	9.67	5.85
ENSG00000124299	PEPD	20	1	19	14.25	14.84	0.59
ENSG00000175221	MED16	20	1	19	38.49	49.5	11.01
ENSG00000130584	ZBTB46	20	1	19	0.87	1.69	0.82
ENSG00000141959	PFKL	20	1	19	43.62	50.9	7.28
ENSG00000163945	UVSSA	20	1	19	3.67	6.08	2.41
ENSG00000005206	SPPL2B	19	0	19	16.61	27.18	10.57
ENSG00000130699	TAF4	19	0	19	17.28	21.64	4.36
ENSG00000118007	STAG1	19	0	19	2.18	8.37	6.19
ENSG00000083307	GRHL2	38	20	18	28.08	59.36	31.28
ENSG00000126214	KLC1	28	10	18	22.35	29.31	6.96
ENSG00000095066	HOOK2	26	8	18	31.5	41.31	9.81
ENSG00000160216	AGPAT3	25	7	18	15.77	24.61	8.84
ENSG00000159692	CTBP1	25	7	18	78.02	78.48	0.460000000000008
ENSG00000104728	ARHGEF10	24	6	18	3.98	12.09	8.11
ENSG00000058453	CROCC	23	5	18	3.74	4.9	1.16
ENSG00000176715	ACSF3	22	4	18	11.82	17.23	5.41
ENSG00000182957	SPATA13	21	3	18	20.03	43.38	23.35
ENSG00000100478	AP4S1	21	3	18	0.64	0.97	0.33
ENSG00000104714	ERICH1	21	3	18	7.97	13.75	5.78
ENSG00000185024	BRF1	19	1	18	11.8	21.39	9.59
ENSG00000147799	ARHGAP39	19	1	18	2.29	4.58	2.29
ENSG00000156110	ADK	18	0	18	32.8	37.73	4.93
ENSG00000099814	CEP170B	18	0	18	26.34	27.07	0.73
ENSG00000103249	CLCN7	18	0	18	5.91	11.1	5.19
ENSG00000141076	UTP4	18	0	18	20.33	44.96	24.63
ENSG00000051382	PIK3CB	18	0	18	19.64	25.79	6.15
ENSG00000164808	SPIDR	18	0	18	25.4	31.52	6.12
ENSG00000167393	PPP2R3B	18	0	18	3.64	5.35	1.71
ENSG00000165238	WNK2	25	8	17	40.43	51.82	11.39
ENSG00000021762	OSBPL5	22	5	17	16.46	28.62	12.16
ENSG00000179832	MROH1	22	5	17	11.08	15.28	4.2
ENSG00000101187	SLCO4A1	21	4	17	18.28	21.9	3.62
ENSG00000165752	STK32C	20	3	17	14.8	16.21	1.41
ENSG00000233695	GAS6-AS1	20	3	17	3.79	8.9	5.11
ENSG00000104731	KLHDC4	20	3	17	13.94	17.9	3.96
ENSG00000116151	MORN1	18	1	17	1.86	3.69	1.83
ENSG00000107147	KCNT1	18	1	17	0.49	1.08	0.59
ENSG00000102935	ZNF423	17	0	17	0.06	0.22	0.16
ENSG00000054793	ATP9A	17	0	17	4.53	7.64	3.11
ENSG00000176155	CCDC57	26	10	16	147.42	172.61	25.19
ENSG00000138771	SHROOM3	26	10	16	29.75	48.7	18.95
ENSG00000140443	IGF1R	25	9	16	2.21	3.98	1.77
ENSG00000184916	JAG2	22	6	16	14.5	23.38	8.88
ENSG00000073910	FRY	21	5	16	11.31	26.98	15.67
ENSG00000203485	INF2	20	4	16	20.15	25.97	5.82
ENSG00000103121	CMC2	20	4	16	70.58	112.69	42.11
ENSG00000132361	CLUH	20	4	16	64.92	85.81	20.89
ENSG00000267281	ATF7-NPFF	19	3	16	0.19	1.59	1.4
ENSG00000162104	ADCY9	19	3	16	4.27	5.07	0.800000000000001
ENSG00000127616	SMARCA4	17	1	16	58.5	80.08	21.58
ENSG00000131591	C1orf159	16	0	16	12.46	17.71	5.25
ENSG00000086205	FOLH1	16	0	16	340.56	452.56	112
ENSG00000130779	CLIP1	16	0	16	20.65	21.2	0.550000000000001
ENSG00000176124	DLEU1	16	0	16	8.48	9.4	0.92
ENSG00000053747	LAMA3	16	0	16	23.74	38.64	14.9
ENSG00000106772	PRUNE2	24	9	15	38.5	80.69	42.19
ENSG00000167281	RBFOX3	20	5	15	0.04	0.43	0.39
ENSG00000197912	SPG7	19	4	15	20.3	28.74	8.44
ENSG00000104880	ARHGEF18	19	4	15	11.95	14.16	2.21
ENSG00000153944	MSI2	18	3	15	20.01	25.25	5.24
ENSG00000090006	LTBP4	18	3	15	40.12	46.61	6.49
ENSG00000174915	PTDSS2	17	2	15	8.99	14.74	5.75
ENSG00000197757	HOXC6	17	2	15	8.93	25.29	16.36
ENSG00000197548	ATG7	17	2	15	5.18	7.34	2.16
ENSG00000136295	TTYH3	17	2	15	20.96	35.22	14.26
ENSG00000105997	HOXA3	17	2	15	0.53	1.89	1.36
ENSG00000150672	DLG2	16	1	15	0.76	1.86	1.1
ENSG00000226174	TEX22	16	1	15	0.29	0.9	0.61
ENSG00000146205	ANO7	16	1	15	4.59	11.46	6.87
ENSG00000188511	C22orf34	16	1	15	0.17	0.2	0.03
ENSG00000132549	VPS13B	16	1	15	6.73	7.46	0.73
ENSG00000180900	SCRIB	16	1	15	39.47	45.45	5.98
ENSG00000160075	SSU72	15	0	15	91.99	124.2	32.21
