ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0034660	ncRNA metabolic process	275/6417	470/17913	3.29388704700673e-24	2.04715079971468e-20	1.7821662549068e-20	NVL/INTS1/BOP1/BRF1/UTP4/SMARCA4/PARN/NSUN6/ERI1/PUS7/TRIT1/GTF3C1/TYW1/PRORP/CPSF1/MTREX/SNAPC4/TBL3/EARS2/ELAC1/WDR43/WDR4/FARS2/POLR2F/CDKAL1/TUT1/IPPK/DHX37/SMAD3/ADAT3/SRRT/LARS2/UTP6/TRMT61A/IMP3/DUS1L/DARS/ZBTB8OS/RPRD2/DDX21/THUMPD1/SARS2/KHSRP/METTL8/NOP58/SHQ1/PTCD1/DIS3L2/MPHOSPH6/DUS2/CAVIN1/USP14/XRN1/SND1/INTS7/UTP11/PPA1/GTPBP4/NABP2/TSEN54/DUS3L/FARSB/PNPT1/POLR1B/DDX1/DIMT1/XPO5/EEF1E1/HNRNPA2B1/NOL6/EXOSC3/INTS11/TDRD1/NOC4L/PELP1/VARS/RPAP2/UTP25/AGO1/PDCD11/NOLC1/ANKRD16/NARS2/PUS1/YARS2/GTF3A/INTS14/INTS2/MRM3/RPRD1A/TDRD12/FBL/TYW5/GTF3C2/YBEY/PES1/RPP14/POLR2B/NOP14/WDR55/NSA2/GTF3C6/VARS2/BUD23/INTS9/SNAPC3/NCBP1/TRMO/IARS/RC3H2/MTOR/DDX51/ADAT1/TRMT1/DDX17/NCBP2/DARS2/TARS2/IARS2/TDRKH/TUT4/ADAR/RRNAD1/TRDMT1/BMS1/RPP30/PSTK/PWP1/BCDIN3D/PA2G4/DICER1/METTL3/DTD2/GTF2A2/ELL3/ICE2/RPP25/POLR3K/NOL11/ELAC2/POLR2A/SENP3/RBFA/ELP2/TRIR/FARSA/EXOSC5/POP4/QTRT1/CD3EAP/WDR12/NABP1/WDR75/TRMT6/NOP56/DGCR8/TSEN2/RRP9/POLR2H/METTL6/SEPSECS/GRSF1/ELL2/RARS/DROSHA/LARS/HARS/TAF11/RIOK1/RRP36/GTF2H5/AARS2/DUS4L/MRM2/MEPCE/INTS8/MYBL1/POP1/CHD7/DCAF13/NOL8/URM1/TUT7/SPIN1/TRMT10B/GTF3C5/REXO4/DKC1/LAS1L/SUV39H1/INTS5/NCL/ISG20L2/TRMT5/SNAPC5/PIH1D1/RPRD1B/ELP6/HEATR1/NOL9/INTS3/TOE1/HENMT1/AGO4/TAF13/TSEN15/EXOSC10/H2AFY2/NPM3/POLR2G/INTS4/RPUSD4/TRPT1/POP5/TARBP2/RAN/METTL1/WBP11/DDX11/INTS13/GTF2F2/FCF1/GTF2A1/TARSL2/FAM98B/LCMT2/DIS3L/EXOSC6/FTSJ3/MRM1/UTP18/EIF4A3/METTL2A/GEMIN4/MARS2/TPRKB/POLR2D/TRMT61B/ZC3H8/SSB/IMP4/OSGEPL1/PRKRA/MOCS3/XRN2/SMARCB1/RTCB/RRP7A/GTF2E1/NUDT16/TRMT10C/TRNT1/LSM6/TRMT10A/NFKB1/ZCCHC4/UTP3/LYAR/EXOSC9/FRG1/GAR1/H2AFY/WDR36/NSUN2/WDR46/BYSL/RPP40/METTL2B/DDX56/INTS10/CDK9/TEX10/HSD17B10/TRMT2B/FTSJ1	275
BP	GO:0060271	cilium assembly	206/6417	335/17913	5.17975798611944e-22	1.46853120529399e-18	1.27844356102996e-18	ABCC4/SEPTIN9/PCNT/CROCC/SFI1/DNM2/DNAAF5/IFT140/SYNE2/CLASP1/WDR90/NPHP4/WRAP73/DNAL1/WDR60/RFX2/ARMC9/TCHP/SDCCAG8/ABLIM1/C2CD3/DYNLL1/CENPJ/ATP6V1D/SEPTIN2/CEP72/NINL/IQCG/DNAAF4/BBS9/EVI5L/ARMC4/B9D1/HTT/FHDC1/ATG5/HAUS7/IFT88/ONECUT1/RPGRIP1L/GAS8/FBF1/SPAG16/ASAP1/MAPK15/CDKL1/DYNC1H1/HSP90AA1/CEP250/WWTR1/NEURL1/DYNC2H1/IFT81/IFT43/CDK10/TPGS1/ARL13B/YWHAG/AKAP9/WDR34/IFT74/TCTN2/ONECUT2/CKAP5/TUBA4A/KIF3B/NEK1/VANGL2/TRIP11/TMEM107/CEP192/CCDC151/DNAAF3/BBS5/TTC21B/CCDC13/TTLL3/CCNO/MCIDAS/FGFR1OP/ICK/RAB23/GALNT11/HAUS6/ENTR1/KIF27/HDAC6/TRAF3IP1/IFT172/CPLANE1/SNX10/CPLANE2/ODF2L/CDK1/WDR11/BBS1/PARVA/TMEM138/CCDC65/POC1B/CFAP54/DZIP1/DNAAF2/EXOC5/BBOF1/DNAAF1/CCDC113/E2F4/CCP110/CLUAP1/HAP1/CEP76/RAB8A/TUBB4A/DNAH7/ALMS1/DYNC1I2/FAM161A/TMEM237/MAPRE1/MKKS/CFAP298/RSPH1/IQCB1/IFT122/CFAP44/CCDC66/IFT80/CEP135/BBS7/SCLT1/MAK/AHI1/ATAT1/NUDCD3/TTC26/IQUB/CEP41/SEPTIN7/FAM92A/TUBB4B/CDKL5/ATP6V0D1/ATXN10/DNAH5/HSPB11/TCTEX1D2/RSPH9/OFD1/SSX2IP/TCTN3/CFAP43/BBIP1/ACTR1A/CEP126/TMEM216/HYLS1/CEP83/NEDD1/BBS10/TTC8/MNS1/ATMIN/DYNLRB2/DYNLL2/TUBG1/MKS1/CCDC103/IFT20/CNTROB/CFAP53/HAUS1/HAUS5/B9D2/STK36/WDR35/ACTR2/CFAP221/EHD3/CCDC88A/TTC30B/TMEM17/RABL2B/IFT27/PLA2G3/CEP19/CEP97/IFT57/GMNC/ATG3/CC2D2A/TAPT1/PLK4/NME5/TUBB/IFT22/LRRC6/TMEM67/PCM1/VDAC3/CNTRL/CEP78/KIF24/CFAP157/RPGR/OCRL	206
BP	GO:0044782	cilium organization	211/6417	346/17913	7.08864620415443e-22	1.46853120529399e-18	1.27844356102996e-18	ABCC4/SEPTIN9/PCNT/CROCC/SFI1/DNM2/DNAAF5/IFT140/SYNE2/CLASP1/WDR90/NPHP4/WRAP73/DNAL1/WDR60/RFX2/ARMC9/TCHP/SDCCAG8/ABLIM1/C2CD3/DYNLL1/CENPJ/ATP6V1D/SEPTIN2/CEP72/NINL/IQCG/DNAAF4/BBS9/EVI5L/ARMC4/B9D1/HTT/FHDC1/ATG5/HAUS7/IFT88/ONECUT1/RPGRIP1L/GAS8/FBF1/SPAG16/ASAP1/MAPK15/CDKL1/DYNC1H1/HSP90AA1/CEP250/WWTR1/NEURL1/DYNC2H1/IFT81/IFT43/CDK10/KIF19/TPGS1/ARL13B/YWHAG/AKAP9/WDR34/IFT74/TUB/TCTN2/ONECUT2/CKAP5/TUBA4A/KIF3B/NEK1/VANGL2/TRIP11/TMEM107/CEP192/CCDC151/DNAAF3/BBS5/TTC21B/CCDC13/TTLL3/CCNO/MCIDAS/FGFR1OP/ICK/RAB23/GALNT11/HAUS6/ENTR1/KIF27/HDAC6/TRAF3IP1/IFT172/CPLANE1/SNX10/CPLANE2/ODF2L/CDK1/WDR11/BBS1/PARVA/TMEM138/CCDC65/POC1B/CFAP54/DZIP1/DNAAF2/EXOC5/BBOF1/DNAAF1/CCDC113/E2F4/CCP110/CLUAP1/HAP1/CEP76/RAB8A/TUBB4A/DNAH7/ALMS1/DYNC1I2/FAM161A/TMEM237/MAPRE1/MKKS/CFAP61/CFAP298/RSPH1/IQCB1/IFT122/CFAP44/CCDC66/IFT80/CEP135/BBS7/SCLT1/MAK/AHI1/ATAT1/NUDCD3/TTC26/IQUB/CEP41/SEPTIN7/FAM92A/TUBB4B/CDKL5/ATP6V0D1/ATXN10/DNAH5/HSPB11/TCTEX1D2/RSPH9/OFD1/SSX2IP/TCTN3/CFAP43/BBIP1/ACTR1A/CEP126/TMEM216/HYLS1/CEP83/NEDD1/BBS10/TTC8/MNS1/ATMIN/DYNLRB2/DYNLL2/TUBG1/MKS1/CCDC103/IFT20/CNTROB/CFAP53/HAUS1/HAUS5/B9D2/STK36/WDR35/CATIP/ACTR2/CFAP221/EHD3/CCDC88A/TTC30B/TMEM17/RABL2B/IFT27/PLA2G3/CEP19/CEP97/IFT57/GMNC/ATG3/PKD2/CC2D2A/TAPT1/PLK4/NME5/TUBB/IFT22/LRRC6/TMEM67/PCM1/VDAC3/CNTRL/CEP78/KIF24/CFAP157/RPGR/OCRL	211
BP	GO:0034470	ncRNA processing	183/6417	293/17913	9.21533604592186e-21	1.43183283813511e-17	1.24649545463259e-17	NVL/INTS1/BOP1/UTP4/PARN/NSUN6/ERI1/PUS7/TRIT1/TYW1/PRORP/CPSF1/MTREX/TBL3/ELAC1/WDR43/WDR4/FARS2/CDKAL1/TUT1/DHX37/SMAD3/ADAT3/SRRT/UTP6/TRMT61A/IMP3/DUS1L/ZBTB8OS/DDX21/THUMPD1/METTL8/NOP58/SHQ1/PTCD1/MPHOSPH6/DUS2/USP14/INTS7/UTP11/GTPBP4/TSEN54/DUS3L/DDX1/DIMT1/HNRNPA2B1/NOL6/EXOSC3/INTS11/NOC4L/PELP1/UTP25/AGO1/PDCD11/NOLC1/ANKRD16/PUS1/INTS2/MRM3/FBL/TYW5/YBEY/PES1/RPP14/NOP14/WDR55/NSA2/BUD23/INTS9/TRMO/DDX51/ADAT1/TRMT1/DDX17/TUT4/ADAR/RRNAD1/TRDMT1/BMS1/RPP30/BCDIN3D/PA2G4/DICER1/METTL3/RPP25/POLR3K/NOL11/ELAC2/SENP3/RBFA/ELP2/EXOSC5/POP4/QTRT1/WDR12/WDR75/TRMT6/NOP56/DGCR8/TSEN2/RRP9/METTL6/GRSF1/DROSHA/RIOK1/RRP36/GTF2H5/DUS4L/MRM2/INTS8/POP1/CHD7/DCAF13/NOL8/URM1/TUT7/TRMT10B/REXO4/DKC1/LAS1L/SUV39H1/INTS5/ISG20L2/TRMT5/ELP6/HEATR1/NOL9/INTS3/TOE1/AGO4/TSEN15/EXOSC10/NPM3/INTS4/RPUSD4/TRPT1/POP5/TARBP2/METTL1/WBP11/FCF1/FAM98B/LCMT2/EXOSC6/FTSJ3/MRM1/UTP18/EIF4A3/METTL2A/GEMIN4/TPRKB/TRMT61B/SSB/IMP4/OSGEPL1/PRKRA/MOCS3/XRN2/RTCB/RRP7A/NUDT16/TRMT10C/TRNT1/LSM6/TRMT10A/ZCCHC4/UTP3/LYAR/EXOSC9/FRG1/GAR1/WDR36/NSUN2/WDR46/BYSL/RPP40/METTL2B/DDX56/INTS10/TEX10/HSD17B10/TRMT2B/FTSJ1	183
BP	GO:0006260	DNA replication	165/6417	260/17913	7.28407361975807e-20	9.05410350935928e-17	7.88213440116978e-17	ATG7/RTEL1/NFIA/ATR/TONSL/CDK2AP1/BRCA1/POLD1/RMI1/PNKP/GLI2/ING5/ATM/NASP/POLA2/RRM2/SAMHD1/FGFR1/SET/EGFR/DHX9/POLD3/BAZ1A/TIPIN/TERF2/SLX4/ZRANB3/CHAF1B/SENP2/PDS5A/ANKRD17/LRWD1/MCMDC2/CHTF18/RECQL4/ZMPSTE24/EHMT2/CENPX/RECQL5/RBBP4/S100A11/GTPBP4/MCMBP/RBM14/POLE/LIG4/RFWD3/GINS3/RMI2/POLI/USP37/PCNA/CHEK2/RFC1/MCM9/POLA1/ACHE/GLI1/BARD1/ATRIP/ORC5/EXO1/RFC3/POLE2/INO80/TICRR/RAD51/ORC6/CDC6/RBBP8/GRWD1/MCM8/DONSON/CDC45/MCM5/MCIDAS/RFC2/WRN/TTF1/TSPYL2/ZBTB38/CLSPN/CACYBP/CDK1/MCM10/DNA2/SMC3/CHEK1/TBRG1/RRM1/FAM111A/PRIM1/BRCA2/PCLAF/BLM/POLG/GINS2/CTC1/RPA1/NT5M/CHAF1A/ORC2/MCM6/GEN1/SETMAR/TOPBP1/RAD1/RAD17/FBXO5/MMS22L/MCM3/MCM4/NBN/RBBP7/MCM2/PURA/REV3L/CDC7/RPA2/ORC1/CENPS/KIN/FBH1/TWNK/WAPL/E2F8/FEN1/CDK2/TIMELESS/RFC5/DDX11/NAP1L1/DUT/RBBP6/MAP2K4/ALYREF/TOP3A/ATAD5/RPAIN/RNASEH2A/CCNE1/ETAA1/POLE4/UCN/CCDC88A/SMARCAL1/MGME1/GINS1/RFC4/GMNC/PRIMPOL/POLK/RAD50/GMNN/WRNIP1/ORC3/MCM7/POLD2/CCNE2/ESCO2/TERF1/DSCC1/POLE3/CDK9/SMC1A	165
BP	GO:0006403	RNA localization	138/6417	208/17913	2.41240803598994e-19	2.36987498583119e-16	2.06311681029298e-16	PARN/NUP153/MYO1C/ATR/SMG6/THOC2/CPSF1/CCT3/NUP62/IGF2BP2/POM121/ATM/PRPF6/DDX39A/BICD2/ZC3H11A/NUP88/G3BP2/NUP210/SYMPK/DHX9/NUP58/TERF2/U2AF2/KHSRP/RUVBL2/NOP58/SHQ1/SENP2/CCT6A/POM121C/NUP93/RBM8A/SRSF11/ZNHIT6/HHEX/NUP107/IWS1/PNPT1/DHX36/RANBP17/SRSF3/NUP43/XPO5/HNRNPA2B1/CKAP5/NXF1/AAAS/PARP11/XPO1/FYTTD1/NDC1/SIDT2/NUP37/CPSF6/CPSF2/SRSF5/DHX38/NUP85/FBL/SDAD1/EIF4E/DCP2/NUP205/NCBP1/RUVBL1/ALKBH5/IGF2BP3/XPO7/ARC/NCBP2/NUP133/HNRNPU/TPR/SFPQ/MAGOHB/DDX19A/NUTF2/THOC6/SMG1/NCBP3/EIF5A/WRAP53/SEH1L/CCT7/RANBP2/HNRNPA3/SRSF6/RAE1/MCM3AP/CCT8/TST/RFTN1/YTHDC1/NUP155/CCT5/DDX39B/TCP1/NUP42/NUP188/UPF3B/DKC1/THOC5/MEX3D/SIDT1/PIH1D1/PURA/NUP214/SMG5/EXOSC10/UPF2/RAN/CCT2/UPF3A/PABPN1/SNUPN/SRSF1/SRSF2/ALYREF/EIF4A3/SUPT6H/CPSF3/NUP35/SRSF7/SSB/MX2/U2AF1/NUP50/RBM15B/THOC7/TGFBR2/NUP54/THOC3/MRPL18/TERF1/GLE1/FMR1/NXT2	138
BP	GO:0031503	protein-containing complex localization	153/6417	238/17913	2.66920754639072e-19	2.36987498583119e-16	2.06311681029298e-16	NACC2/DLG2/SCRIB/NUP153/IFT140/RELN/NLGN1/HIP1/WDR60/ATR/SMG6/THOC2/CPSF1/DYNLL1/NUP62/CEP72/CEP112/POM121/ATM/DDX39A/ZC3H11A/RAP1A/NUP88/OPHN1/NUP210/GPC6/DLG4/SYMPK/NUP58/IFT88/TERF2/NETO1/U2AF2/DAG1/POM121C/NUP93/SNAP47/RBM8A/SRSF11/HHEX/DYNC2H1/IFT81/NUP107/IFT43/SMAD7/IWS1/DLG1/SRSF3/NUP43/HNRNPA2B1/WDR34/IFT74/CPLX1/TUB/NXF1/AAAS/XPO1/KIF3B/FYTTD1/EPS15/NDC1/NUP37/CPSF2/TRIP11/SRSF5/DHX38/NUP85/TTC21B/SDAD1/EIF4E/ICK/NUP205/MIOS/NCBP1/ALKBH5/TRAF3IP1/ARC/IFT172/NCBP2/NUP133/HNRNPU/TPR/SFPQ/DRD4/MAGOHB/GRIP1/FKBP4/GRASP/EFNB2/CLUAP1/THOC6/SMG1/EIF5A/SEH1L/RAB8A/RANBP2/SRSF6/RAE1/MCM3AP/IFT122/IFT80/YTHDC1/NUP155/DDX39B/NUP42/TTC26/NUP188/UPF3B/THOC5/MAPK10/HSPB11/TCTEX1D2/PURA/NUP214/SMG5/SSX2IP/SNAPIN/UPF2/RAN/PABPN1/NPTN/DYNLRB2/VPS35/SRSF1/DYNLL2/SRSF2/BIRC5/IFT20/ALYREF/EIF4A3/SUPT6H/WDR35/CPSF3/NUP35/SRSF7/SSB/TTC30B/U2AF1/RABL2B/NUP50/IFT27/RBM15B/IFT57/THOC7/NUP54/USP46/THOC3/STX7/IFT22/PCM1/TERF1/GLE1/RPGR	153
BP	GO:0015931	nucleobase-containing compound transport	140/6417	221/17913	5.75727102161362e-17	4.47267992491608e-14	3.89373329619658e-14	NUP153/MYO1C/SMG6/THOC2/CPSF1/NUP62/IGF2BP2/SLC35E2B/POM121/DDX39A/BICD2/ZC3H11A/NUP88/G3BP2/NUP210/SYMPK/DHX9/NUP58/TERF2/U2AF2/KHSRP/SLC25A42/SENP2/SLC29A1/POM121C/NUP93/RBM8A/SRSF11/HHEX/NUP107/IWS1/PNPT1/RANBP17/SRSF3/NUP43/XPO5/RIPK1/HNRNPA2B1/CKAP5/NXF1/AAAS/PARP11/SLC25A23/XPO1/SLC25A17/FYTTD1/ABCD1/NDC1/SLC29A3/SIDT2/SLC29A2/NUP37/CPSF6/CPSF2/SRSF5/ABCC11/DHX38/NUP85/SDAD1/EIF4E/NUP205/NCBP1/ALKBH5/IGF2BP3/XPO7/ARC/NCBP2/NUP133/HNRNPU/TPR/SFPQ/SLC35E2A/MAGOHB/SLC35E3/DDX19A/NUTF2/THOC6/SMG1/SLC35B1/SLC25A19/NCBP3/EIF5A/SEH1L/RANBP2/HNRNPA3/SRSF6/RAE1/MCM3AP/TST/RFTN1/SLC35A5/YTHDC1/NUP155/DDX39B/NUP42/NUP188/UPF3B/THOC5/SLC35E4/SIDT1/SLC25A24/PURA/NUP214/SMG5/SLC35D1/UPF2/P2RX7/RAN/UPF3A/PABPN1/SNUPN/SRSF1/SRSF2/ALYREF/EIF4A3/SUPT6H/CPSF3/NUP35/SRSF7/SSB/MX2/U2AF1/NUP50/RBM15B/SLC33A1/THOC7/TGFBR2/NUP54/SLC25A4/SLC35A4/THOC3/SLC35A1/MRPL18/SLC35B3/SLC35B4/SLC25A32/GLE1/GJB1/FMR1/NXT2	140
BP	GO:0051052	regulation of DNA metabolic process	225/6417	403/17913	1.05056638102082e-16	7.25474450893825e-14	6.31568561221876e-14	NVL/GRHL2/SPIDR/ATG7/PARN/TGFB1/AKT1/BMPR2/RTEL1/GPER1/PINX1/ATR/GATA3/DNMT1/SMOC2/PTGES3/SMG6/PRKDC/CCT3/BRCA1/MAPK1/NIBAN2/PNKP/GLI2/BABAM2/ATM/WT1/RAD52/SPIRE2/PPHLN1/ATF7IP/MSH6/POLQ/TFRC/PPP1R10/UBR5/FGFR1/EGFR/MBD3/SHLD1/PARP1/NMNAT1/DHX9/STOX1/TIPIN/TERF2/SLX4/FUS/ZNF91/ZRANB3/RNF168/SENP2/PDS5A/ANKRD17/CCT6A/MAPK15/TEX15/CHTF18/PDGFB/ZMPSTE24/TET1/NPAS2/EHMT2/HSP90AA1/RECQL5/XRN1/DEK/S100A11/GTPBP4/NABP2/APAF1/TP53BP1/SH2B1/CERS1/USP37/PCNA/CHEK2/PPARG/PPP4R2/DHX36/HNRNPA2B1/PAXIP1/UBE2V2/EXOSC3/PRKCD/KPNA1/STAT6/GLI1/TRIP12/FIGNL1/TFDP1/RFC3/HMGB1/INO80/TICRR/RAD51/CDC6/XRCC1/RIF1/XRCC5/DONSON/MCIDAS/DCP2/PKIB/RFC2/MYC/WRN/TTF1/TSPYL2/ZBTB38/SMCHD1/OGG1/PARP4/TEN1/HNRNPU/USP1/NEK7/DFFA/CACYBP/CDK1/DNA2/SMC3/SLF2/SHLD2/CHEK1/SPI1/UBE2N/TIGAR/PARPBP/BRCA2/PRMT5/BLM/SMG1/NUDT16L1/CTC1/WRAP53/MBD2/IL27RA/CCT7/UBE2V1/CCT8/SETMAR/TASOR/MLH1/SMARCAD1/CCT5/RAD17/FBXO5/DDX39B/MAP3K4/TCP1/KDM1B/RNF8/HSP90AB1/NBN/PAK3/DKC1/GNL3L/FOXP3/TNKS2/MEN1/DTX3L/PDGFRB/CYREN/SMG5/CDC7/UBQLN4/KDM1A/RPA2/RLF/EXOSC10/FBH1/WAPL/E2F8/H2AFX/KDM4D/CDK2/RAD51AP1/TIMELESS/RFC5/CCT2/DDX11/FOXM1/MPHOSPH8/RGCC/PIF1/RBBP6/EXOSC6/PPP4C/MAP2K4/ALYREF/SUPT6H/ATAD5/TRIM28/ZNF304/ACTR2/UCN/CCDC88A/NPPC/MIS18A/MORC2/NUDT16/PARP3/CTNNB1/MAGEF1/PARP9/RFC4/PIK3CA/ABRAXAS1/OTUD4/FBXO4/SLF1/MRNIP/RAD50/GMNN/WRNIP1/POT1/ESCO2/TERF1/DSCC1/ENDOG/CDK9/SMC1A/USP51/BRCC3	225
BP	GO:0006261	DNA-dependent DNA replication	91/6417	130/17913	1.98821185772413e-15	1.23567366957555e-12	1.07572725775811e-12	ATG7/RTEL1/TONSL/CDK2AP1/POLD1/PNKP/POLA2/SAMHD1/FGFR1/POLD3/BAZ1A/TIPIN/TERF2/ZRANB3/SENP2/LRWD1/MCMDC2/CHTF18/ZMPSTE24/CENPX/MCMBP/POLE/RFWD3/GINS3/PCNA/CHEK2/RFC1/MCM9/POLA1/RFC3/POLE2/INO80/TICRR/RAD51/CDC6/DONSON/MCM5/RFC2/WRN/DNA2/SMC3/PRIM1/BRCA2/BLM/POLG/GINS2/RPA1/ORC2/MCM6/GEN1/SETMAR/FBXO5/MMS22L/MCM3/MCM4/NBN/MCM2/PURA/REV3L/CDC7/RPA2/CENPS/FBH1/TWNK/E2F8/FEN1/CDK2/RFC5/DDX11/ALYREF/ATAD5/RPAIN/CCNE1/ETAA1/POLE4/SMARCAL1/MGME1/GINS1/RFC4/GMNC/PRIMPOL/GMNN/WRNIP1/MCM7/POLD2/CCNE2/TERF1/DSCC1/POLE3/CDK9/SMC1A	91
