ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	46/2263	118/17913	3.90961038479918e-13	2.287513036146e-09	2.16139723589108e-09	SMG6/DHX34/RPS3/CTIF/RPL27A/RPS10/RPL37A/EIF3E/RPL10/RPL4/RNPS1/RPL37/RPL22/RPL13/CASC3/RPL9/PABPC1/RPL5/RPLP0/RPS17/RPLP1/RPS2/RPL26/RPL17/RPS11/RPL18/RPL18A/RPS28/RPS15/RPL15/RPL14/RPL35/UPF3B/RPL32/RPL30/RPL12/SMG7/RPL41/RPL23/RPL28/RPS19/RPS16/RPL29/RPS20/RPS6/RPL7A	46
BP	GO:0019083	viral transcription	58/2263	177/17913	2.20577035036248e-12	6.45298115998545e-09	6.09721362110725e-09	NUP98/POLR2E/POM121/RPS3/TRIM8/RPL27A/RPS10/TRIM14/RPL37A/RRP1B/POM121C/RPL10/NUP107/RPL4/TFAP4/GTF2F1/RPL37/TRIM27/RPL22/RPL13/EP300/RPL9/ZFP36/RPL5/RPLP0/RPS17/RPLP1/RPS2/MON1B/RPL26/POLR2A/RPL17/RPS11/RPL18/RPL18A/RPS28/RPS15/RPL15/RPL14/RPL35/MID2/USF2/RPL32/RPL30/NUP214/RPL12/TARDBP/TRIM21/RPL41/RPL23/RPL28/RPS19/RPS16/RPL29/POLR2J/RPS20/RPS6/RPL7A	58
BP	GO:0019080	viral gene expression	60/2263	191/17913	6.98073350535507e-12	1.36147572466108e-08	1.28641446912719e-08	NUP98/POLR2E/PTBP1/POM121/RPS3/TRIM8/RPL27A/RPS10/TRIM14/RPL37A/RRP1B/POM121C/RPL10/NUP107/RPL4/TFAP4/GTF2F1/RPL37/TRIM27/RPL22/RPL13/EP300/RPL9/ZFP36/RPL5/RPLP0/RPS17/RPLP1/RPS2/MON1B/RPL26/POLR2A/RPL17/RPS11/RPL18/RPL18A/RPS28/RPS15/RPL15/RPL14/RPL35/MID2/EIF2AK4/USF2/RPL32/RPL30/NUP214/RPL12/TARDBP/TRIM21/RPL41/RPL23/RPL28/RPS19/RPS16/RPL29/POLR2J/RPS20/RPS6/RPL7A	60
BP	GO:0006614	SRP-dependent cotranslational protein targeting to membrane	39/2263	103/17913	6.72490994501661e-11	8.86338038998478e-08	8.37472205528521e-08	RPS3/RPL27A/RPS10/RPL37A/RPL10/RPL4/RPL37/RPL22/RPL13/RPL9/TRAM2/RPL5/RPLP0/RPS17/RPLP1/RPS2/RPL26/RPL17/RPS11/RPL18/RPL18A/RPS28/RPS15/RPL15/RPL14/RPL35/RPL32/RPL30/RPL12/RPL41/RPL23/RPL28/RPS19/RPS16/RPL29/TRAM1/RPS20/RPS6/RPL7A	39
BP	GO:0045047	protein targeting to ER	40/2263	108/17913	8.51862778451293e-11	8.86338038998478e-08	8.37472205528521e-08	RPS3/RPL27A/RPS10/RPL37A/RPL10/RPL4/RPL37/RPL22/RPL13/CHMP4B/RPL9/TRAM2/RPL5/RPLP0/RPS17/RPLP1/RPS2/RPL26/RPL17/RPS11/RPL18/RPL18A/RPS28/RPS15/RPL15/RPL14/RPL35/RPL32/RPL30/RPL12/RPL41/RPL23/RPL28/RPS19/RPS16/RPL29/TRAM1/RPS20/RPS6/RPL7A	40
BP	GO:0000956	nuclear-transcribed mRNA catabolic process	59/2263	197/17913	9.08909286274289e-11	8.86338038998478e-08	8.37472205528521e-08	SMG6/DHX34/RPS3/CTIF/RPL27A/RPS10/NANOS3/RPL37A/EIF3E/RPL10/DIS3L2/ZC3H12A/XRN1/PATL1/RPL4/RNPS1/CNOT3/RPL37/RPL22/RPL13/ZFP36L1/DDX5/CASC3/RPL9/PABPC1/ZFP36/RPL5/RPLP0/RPS17/RPLP1/RPS2/TOB1/RPL26/RPL17/RPS11/RPL18/RPL18A/RPS28/RPS15/RPL15/RPL14/DXO/RPL35/TUT7/UPF3B/RPL32/RPL30/RPL12/SMG7/RPL41/RPL23/RPL28/RPS19/RPS16/RPL29/RPS20/RPS6/RPL7A/NBDY	59
BP	GO:0090150	establishment of protein localization to membrane	76/2263	287/17913	1.42140229802266e-10	1.1880892636758e-07	1.1225871983782e-07	TP73/RPS3/RACK1/RPL27A/GGA1/RPS10/EGFR/RAB26/RAB11B/TIMM9/TAOK2/RPL37A/RPL10/KCNB1/PAK1/ARHGAP44/CASP8/RPL4/MIEF2/BCL2L11/RPL37/CPLX1/RPL22/RPL13/CHMP4B/AMN/CHP1/GORASP2/RPL9/CSK/TRAM2/DMTN/RPL5/BBS1/RPLP0/C2CD5/RPS17/RPLP1/RPS2/RPL26/RPL17/CALM3/RPS11/RPL18/RPL18A/RPS28/RPS15/E2F1/RFTN1/RPL15/RPL14/CD24/RPL35/RPL32/RPL30/STOM/RPL12/OPTN/RAPSN/RILPL1/RPL41/GGA2/GGA3/RPL23/TIMM22/BAX/RPL28/RPS19/RPS16/RPL29/TRAM1/GOLGA7/RPS20/RPS6/RPL7A/UBL4A	76
BP	GO:0006613	cotranslational protein targeting to membrane	39/2263	106/17913	1.84001469874954e-10	1.34574075029795e-07	1.27154699971482e-07	RPS3/RPL27A/RPS10/RPL37A/RPL10/RPL4/RPL37/RPL22/RPL13/RPL9/TRAM2/RPL5/RPLP0/RPS17/RPLP1/RPS2/RPL26/RPL17/RPS11/RPL18/RPL18A/RPS28/RPS15/RPL15/RPL14/RPL35/RPL32/RPL30/RPL12/RPL41/RPL23/RPL28/RPS19/RPS16/RPL29/TRAM1/RPS20/RPS6/RPL7A	39
BP	GO:0072599	establishment of protein localization to endoplasmic reticulum	40/2263	112/17913	3.07124095042013e-10	1.99664786676758e-07	1.8865681253341e-07	RPS3/RPL27A/RPS10/RPL37A/RPL10/RPL4/RPL37/RPL22/RPL13/CHMP4B/RPL9/TRAM2/RPL5/RPLP0/RPS17/RPLP1/RPS2/RPL26/RPL17/RPS11/RPL18/RPL18A/RPS28/RPS15/RPL15/RPL14/RPL35/RPL32/RPL30/RPL12/RPL41/RPL23/RPL28/RPS19/RPS16/RPL29/TRAM1/RPS20/RPS6/RPL7A	40
BP	GO:0006413	translational initiation	54/2263	183/17913	1.02541608333274e-09	5.99970950357986e-07	5.66893186280374e-07	RPS3/EIF4EBP1/CTIF/RPL27A/NCK2/RPS10/RPL37A/EIF3E/RPL10/EIF2B1/RPL4/RPL37/RPL22/RPL13/TICRR/EIF3K/EIF2AK3/RPL9/PABPC1/RPL5/RPLP0/METTL3/RPS17/RPLP1/RPS2/RPL26/RPL17/RPS11/RPL18/RPL18A/RPS28/RPS15/EIF4E2/PAIP2B/RPL15/RPL14/RPL35/EIF2AK4/LARP1/RPL32/RPL30/RPL12/EIF3M/RPL41/RPL23/RPL28/RPS19/RPS16/EIF6/EIF2A/RPL29/RPS20/RPS6/RPL7A	54
