ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0034660	ncRNA metabolic process	275/6417	470/17913	3.29388704700673e-24	2.04715079971468e-20	1.7821662549068e-20	NVL/INTS1/BOP1/BRF1/UTP4/SMARCA4/PARN/NSUN6/ERI1/PUS7/TRIT1/GTF3C1/TYW1/PRORP/CPSF1/MTREX/SNAPC4/TBL3/EARS2/ELAC1/WDR43/WDR4/FARS2/POLR2F/CDKAL1/TUT1/IPPK/DHX37/SMAD3/ADAT3/SRRT/LARS2/UTP6/TRMT61A/IMP3/DUS1L/DARS/ZBTB8OS/RPRD2/DDX21/THUMPD1/KHSRP/SARS2/NOP58/METTL8/SHQ1/PTCD1/DIS3L2/MPHOSPH6/DUS2/CAVIN1/USP14/XRN1/SND1/UTP11/INTS7/GTPBP4/PPA1/NABP2/TSEN54/DUS3L/FARSB/PNPT1/DDX1/DIMT1/EEF1E1/XPO5/HNRNPA2B1/NOL6/EXOSC3/INTS11/TDRD1/NOC4L/PELP1/VARS/AGO1/RPAP2/UTP25/NOLC1/PDCD11/ANKRD16/NARS2/YARS2/PUS1/GTF3A/INTS14/MRM3/INTS2/RPRD1A/FBL/TDRD12/GTF3C2/TYW5/POLR1B/YBEY/PES1/RPP14/POLR2B/NOP14/WDR55/NSA2/VARS2/GTF3C6/BUD23/INTS9/IARS/NCBP1/TRMO/RC3H2/SNAPC3/MTOR/DDX51/ADAT1/TRMT1/DDX17/NCBP2/RRNAD1/TARS2/ADAR/DARS2/TUT4/TDRKH/IARS2/PSTK/BMS1/TRDMT1/RPP30/PWP1/PA2G4/BCDIN3D/DICER1/DTD2/METTL3/ICE2/ELL3/RPP25/GTF2A2/POLR3K/POLR2A/SENP3/ELAC2/NOL11/RBFA/ELP2/TRIR/EXOSC5/CD3EAP/POP4/FARSA/QTRT1/IMP4/WDR12/NABP1/WDR75/TRMT6/NOP56/DGCR8/TSEN2/RRP9/METTL6/POLR2H/SEPSECS/GRSF1/DROSHA/HARS/RARS/LARS/ELL2/RIOK1/TAF11/RRP36/AARS2/GTF2H5/MRM2/DUS4L/MEPCE/POP1/INTS8/CHD7/DCAF13/MYBL1/TUT7/SPIN1/NOL8/URM1/GTF3C5/REXO4/TRMT10B/LAS1L/DKC1/SUV39H1/INTS5/NCL/ISG20L2/TRMT5/SNAPC5/PIH1D1/RPRD1B/ELP6/EXOSC10/HENMT1/TAF13/INTS3/TOE1/HEATR1/AGO4/TSEN15/NOL9/H2AFY2/NPM3/RPUSD4/TRPT1/INTS4/POLR2G/TARBP2/DDX11/RAN/WBP11/METTL1/POP5/INTS13/GTF2F2/GTF2A1/FCF1/LCMT2/FAM98B/TARSL2/DIS3L/EXOSC6/MRM1/GEMIN4/METTL2A/UTP18/FTSJ3/EIF4A3/SSB/OSGEPL1/MARS2/POLR2D/ZC3H8/TPRKB/TRMT61B/PRKRA/MOCS3/XRN2/SMARCB1/RTCB/RRP7A/NUDT16/TRMT10C/TRNT1/GTF2E1/UTP3/ZCCHC4/NFKB1/GAR1/TRMT10A/EXOSC9/LYAR/FRG1/LSM6/NSUN2/H2AFY/WDR36/BYSL/RPP40/WDR46/METTL2B/DDX56/INTS10/CDK9/TEX10/FTSJ1/HSD17B10/TRMT2B	275
BP	GO:0060271	cilium assembly	206/6417	335/17913	5.17975798611944e-22	1.46853120529399e-18	1.27844356102996e-18	ABCC4/SEPTIN9/PCNT/CROCC/SFI1/DNM2/DNAAF5/IFT140/CLASP1/WDR90/NPHP4/WRAP73/DNAL1/WDR60/RFX2/ARMC9/TCHP/SDCCAG8/ABLIM1/C2CD3/DYNLL1/CENPJ/ATP6V1D/SEPTIN2/CEP72/NINL/SYNE2/IQCG/DNAAF4/BBS9/EVI5L/ARMC4/B9D1/HTT/FHDC1/ATG5/HAUS7/IFT88/ONECUT1/RPGRIP1L/GAS8/FBF1/SPAG16/ASAP1/MAPK15/CDKL1/DYNC1H1/HSP90AA1/CEP250/WWTR1/NEURL1/DYNC2H1/IFT81/IFT43/CDK10/TPGS1/ARL13B/YWHAG/AKAP9/IFT74/WDR34/TCTN2/ONECUT2/CKAP5/TUBA4A/KIF3B/NEK1/VANGL2/TRIP11/TMEM107/CEP192/DNAAF3/CCDC151/BBS5/TTC21B/TTLL3/CCDC13/MCIDAS/CCNO/FGFR1OP/RAB23/ICK/GALNT11/ENTR1/KIF27/HAUS6/HDAC6/TRAF3IP1/IFT172/CPLANE1/SNX10/ODF2L/CPLANE2/CDK1/WDR11/TMEM138/PARVA/BBS1/CCDC65/POC1B/CFAP54/DZIP1/EXOC5/BBOF1/DNAAF2/CLUAP1/E2F4/CCDC113/CCP110/DNAAF1/HAP1/CEP76/TUBB4A/RAB8A/TMEM237/ALMS1/FAM161A/DYNC1I2/DNAH7/MAPRE1/MKKS/RSPH1/CFAP298/CCDC66/IFT122/IFT80/IQCB1/CFAP44/CEP135/BBS7/SCLT1/AHI1/ATAT1/MAK/TTC26/CEP41/IQUB/SEPTIN7/NUDCD3/FAM92A/TUBB4B/CDKL5/ATP6V0D1/ATXN10/DNAH5/HSPB11/TCTEX1D2/RSPH9/OFD1/SSX2IP/TCTN3/ACTR1A/CFAP43/BBIP1/TMEM216/CEP126/HYLS1/CEP83/NEDD1/BBS10/TTC8/MNS1/DYNLRB2/ATMIN/IFT20/CCDC103/DYNLL2/MKS1/CNTROB/TUBG1/HAUS1/CFAP53/HAUS5/B9D2/EHD3/WDR35/STK36/CFAP221/TTC30B/TMEM17/ACTR2/CCDC88A/PLA2G3/IFT27/RABL2B/IFT57/CEP97/ATG3/CEP19/GMNC/PLK4/CC2D2A/TAPT1/NME5/TUBB/IFT22/PCM1/VDAC3/LRRC6/TMEM67/CEP78/KIF24/CFAP157/CNTRL/RPGR/OCRL	206
BP	GO:0044782	cilium organization	211/6417	346/17913	7.08864620415443e-22	1.46853120529399e-18	1.27844356102996e-18	ABCC4/SEPTIN9/PCNT/CROCC/SFI1/DNM2/DNAAF5/IFT140/CLASP1/WDR90/NPHP4/WRAP73/DNAL1/WDR60/RFX2/ARMC9/TCHP/SDCCAG8/ABLIM1/C2CD3/DYNLL1/CENPJ/ATP6V1D/SEPTIN2/CEP72/NINL/SYNE2/IQCG/DNAAF4/BBS9/EVI5L/ARMC4/B9D1/HTT/FHDC1/ATG5/HAUS7/IFT88/ONECUT1/RPGRIP1L/GAS8/FBF1/SPAG16/ASAP1/MAPK15/CDKL1/DYNC1H1/HSP90AA1/CEP250/WWTR1/NEURL1/DYNC2H1/IFT81/IFT43/CDK10/KIF19/TPGS1/ARL13B/YWHAG/AKAP9/IFT74/WDR34/TUB/TCTN2/ONECUT2/CKAP5/TUBA4A/KIF3B/NEK1/VANGL2/TRIP11/TMEM107/CEP192/DNAAF3/CCDC151/BBS5/TTC21B/TTLL3/CCDC13/MCIDAS/CCNO/FGFR1OP/RAB23/ICK/GALNT11/ENTR1/KIF27/HAUS6/HDAC6/TRAF3IP1/IFT172/CPLANE1/SNX10/ODF2L/CPLANE2/CDK1/WDR11/TMEM138/PARVA/BBS1/CCDC65/POC1B/CFAP54/DZIP1/EXOC5/BBOF1/DNAAF2/CLUAP1/E2F4/CCDC113/CCP110/DNAAF1/HAP1/CEP76/TUBB4A/RAB8A/TMEM237/ALMS1/FAM161A/DYNC1I2/DNAH7/MAPRE1/CFAP61/MKKS/RSPH1/CFAP298/CCDC66/IFT122/IFT80/IQCB1/CFAP44/CEP135/BBS7/SCLT1/AHI1/ATAT1/MAK/TTC26/CEP41/IQUB/SEPTIN7/NUDCD3/FAM92A/TUBB4B/CDKL5/ATP6V0D1/ATXN10/DNAH5/HSPB11/TCTEX1D2/RSPH9/OFD1/SSX2IP/TCTN3/ACTR1A/CFAP43/BBIP1/TMEM216/CEP126/HYLS1/CEP83/NEDD1/BBS10/TTC8/MNS1/DYNLRB2/ATMIN/IFT20/CCDC103/DYNLL2/MKS1/CNTROB/TUBG1/HAUS1/CFAP53/HAUS5/B9D2/EHD3/CATIP/WDR35/STK36/CFAP221/TTC30B/TMEM17/ACTR2/CCDC88A/PLA2G3/IFT27/RABL2B/IFT57/CEP97/ATG3/CEP19/GMNC/PKD2/PLK4/CC2D2A/TAPT1/NME5/TUBB/IFT22/PCM1/VDAC3/LRRC6/TMEM67/CEP78/KIF24/CFAP157/CNTRL/RPGR/OCRL	211
BP	GO:0034470	ncRNA processing	183/6417	293/17913	9.21533604592186e-21	1.43183283813511e-17	1.24649545463259e-17	NVL/INTS1/BOP1/UTP4/PARN/NSUN6/ERI1/PUS7/TRIT1/TYW1/PRORP/CPSF1/MTREX/TBL3/ELAC1/WDR43/WDR4/FARS2/CDKAL1/TUT1/DHX37/SMAD3/ADAT3/SRRT/UTP6/TRMT61A/IMP3/DUS1L/ZBTB8OS/DDX21/THUMPD1/NOP58/METTL8/SHQ1/PTCD1/MPHOSPH6/DUS2/USP14/UTP11/INTS7/GTPBP4/TSEN54/DUS3L/DDX1/DIMT1/HNRNPA2B1/NOL6/EXOSC3/INTS11/NOC4L/PELP1/AGO1/UTP25/NOLC1/PDCD11/ANKRD16/PUS1/MRM3/INTS2/FBL/TYW5/YBEY/PES1/RPP14/NOP14/WDR55/NSA2/BUD23/INTS9/TRMO/DDX51/ADAT1/TRMT1/DDX17/RRNAD1/ADAR/TUT4/BMS1/TRDMT1/RPP30/PA2G4/BCDIN3D/DICER1/METTL3/RPP25/POLR3K/SENP3/ELAC2/NOL11/RBFA/ELP2/EXOSC5/POP4/QTRT1/IMP4/WDR12/WDR75/TRMT6/NOP56/DGCR8/TSEN2/RRP9/METTL6/GRSF1/DROSHA/RIOK1/RRP36/GTF2H5/MRM2/DUS4L/POP1/INTS8/CHD7/DCAF13/TUT7/NOL8/URM1/REXO4/TRMT10B/LAS1L/DKC1/SUV39H1/INTS5/ISG20L2/TRMT5/ELP6/EXOSC10/INTS3/TOE1/HEATR1/AGO4/TSEN15/NOL9/NPM3/RPUSD4/TRPT1/INTS4/TARBP2/WBP11/METTL1/POP5/FCF1/LCMT2/FAM98B/EXOSC6/MRM1/GEMIN4/METTL2A/UTP18/FTSJ3/EIF4A3/SSB/OSGEPL1/TPRKB/TRMT61B/PRKRA/MOCS3/XRN2/RTCB/RRP7A/NUDT16/TRMT10C/TRNT1/UTP3/ZCCHC4/GAR1/TRMT10A/EXOSC9/LYAR/FRG1/LSM6/NSUN2/WDR36/BYSL/RPP40/WDR46/METTL2B/DDX56/INTS10/TEX10/FTSJ1/HSD17B10/TRMT2B	183
BP	GO:0006260	DNA replication	165/6417	260/17913	7.28407361975807e-20	9.05410350935928e-17	7.88213440116978e-17	ATG7/RTEL1/NFIA/ATR/TONSL/CDK2AP1/BRCA1/POLD1/RMI1/PNKP/GLI2/ING5/ATM/NASP/POLA2/RRM2/SAMHD1/FGFR1/SET/EGFR/DHX9/POLD3/BAZ1A/TIPIN/SLX4/TERF2/ZRANB3/CHAF1B/SENP2/PDS5A/ANKRD17/LRWD1/MCMDC2/CHTF18/RECQL4/ZMPSTE24/EHMT2/RECQL5/CENPX/RBBP4/S100A11/GTPBP4/MCMBP/RBM14/POLE/LIG4/RMI2/GINS3/RFWD3/POLI/USP37/PCNA/CHEK2/RFC1/MCM9/POLA1/ACHE/GLI1/BARD1/ATRIP/ORC5/EXO1/RFC3/POLE2/INO80/RAD51/TICRR/ORC6/CDC6/RBBP8/GRWD1/MCM8/DONSON/MCM5/CDC45/MCIDAS/RFC2/WRN/TTF1/TSPYL2/ZBTB38/CACYBP/CLSPN/MCM10/CDK1/SMC3/DNA2/RRM1/FAM111A/TBRG1/CHEK1/PRIM1/BRCA2/BLM/POLG/PCLAF/GINS2/NT5M/RPA1/CTC1/CHAF1A/ORC2/GEN1/MCM6/TOPBP1/SETMAR/RAD17/RAD1/MCM3/FBXO5/MMS22L/MCM4/NBN/RBBP7/MCM2/PURA/REV3L/CENPS/RPA2/CDC7/ORC1/FBH1/TWNK/WAPL/KIN/E2F8/FEN1/CDK2/DDX11/TIMELESS/RFC5/NAP1L1/DUT/RBBP6/RPAIN/MAP2K4/ATAD5/TOP3A/ALYREF/RNASEH2A/CCNE1/POLE4/UCN/SMARCAL1/ETAA1/CCDC88A/GINS1/MGME1/RFC4/GMNC/PRIMPOL/POLK/RAD50/WRNIP1/ORC3/GMNN/MCM7/POLD2/CCNE2/DSCC1/ESCO2/TERF1/POLE3/CDK9/SMC1A	165
BP	GO:0006403	RNA localization	138/6417	208/17913	2.41240803598994e-19	2.36987498583119e-16	2.06311681029298e-16	PARN/NUP153/MYO1C/ATR/SMG6/THOC2/CPSF1/CCT3/NUP62/IGF2BP2/POM121/ATM/PRPF6/DDX39A/BICD2/ZC3H11A/NUP88/G3BP2/NUP210/SYMPK/DHX9/NUP58/TERF2/U2AF2/KHSRP/RUVBL2/NOP58/SHQ1/SENP2/CCT6A/POM121C/NUP93/ZNHIT6/SRSF11/RBM8A/HHEX/NUP107/IWS1/PNPT1/DHX36/RANBP17/XPO5/NUP43/SRSF3/HNRNPA2B1/NXF1/CKAP5/AAAS/PARP11/XPO1/FYTTD1/NDC1/SIDT2/NUP37/CPSF6/CPSF2/SRSF5/DHX38/NUP85/FBL/EIF4E/SDAD1/DCP2/NUP205/NCBP1/RUVBL1/ALKBH5/IGF2BP3/XPO7/ARC/NCBP2/NUP133/HNRNPU/SFPQ/TPR/MAGOHB/THOC6/NUTF2/SMG1/DDX19A/NCBP3/EIF5A/WRAP53/SEH1L/CCT7/HNRNPA3/RANBP2/SRSF6/RAE1/CCT8/MCM3AP/TST/RFTN1/YTHDC1/CCT5/NUP155/TCP1/DDX39B/NUP42/NUP188/DKC1/UPF3B/THOC5/MEX3D/SIDT1/PIH1D1/PURA/NUP214/SMG5/EXOSC10/UPF2/CCT2/RAN/UPF3A/PABPN1/SNUPN/SRSF2/SUPT6H/SRSF1/EIF4A3/ALYREF/SSB/NUP35/SRSF7/CPSF3/U2AF1/MX2/NUP50/RBM15B/TGFBR2/THOC7/NUP54/THOC3/MRPL18/TERF1/GLE1/NXT2/FMR1	138
BP	GO:0031503	protein-containing complex localization	153/6417	238/17913	2.66920754639072e-19	2.36987498583119e-16	2.06311681029298e-16	NACC2/DLG2/SCRIB/NUP153/IFT140/RELN/NLGN1/HIP1/WDR60/ATR/SMG6/THOC2/CPSF1/DYNLL1/NUP62/CEP72/CEP112/POM121/ATM/DDX39A/ZC3H11A/RAP1A/NUP88/OPHN1/NUP210/GPC6/DLG4/SYMPK/IFT88/NUP58/TERF2/NETO1/U2AF2/DAG1/POM121C/NUP93/SNAP47/SRSF11/RBM8A/HHEX/DYNC2H1/IFT81/NUP107/IFT43/SMAD7/IWS1/DLG1/NUP43/SRSF3/HNRNPA2B1/IFT74/WDR34/CPLX1/TUB/NXF1/AAAS/XPO1/KIF3B/FYTTD1/NDC1/EPS15/NUP37/CPSF2/TRIP11/SRSF5/DHX38/NUP85/TTC21B/EIF4E/SDAD1/ICK/NUP205/MIOS/NCBP1/ALKBH5/TRAF3IP1/ARC/IFT172/NCBP2/NUP133/HNRNPU/SFPQ/TPR/DRD4/FKBP4/GRASP/MAGOHB/GRIP1/EFNB2/CLUAP1/THOC6/SMG1/EIF5A/SEH1L/RAB8A/RANBP2/SRSF6/RAE1/MCM3AP/IFT122/IFT80/YTHDC1/NUP155/DDX39B/NUP42/TTC26/NUP188/UPF3B/THOC5/MAPK10/HSPB11/TCTEX1D2/PURA/NUP214/SMG5/SSX2IP/SNAPIN/UPF2/RAN/PABPN1/NPTN/VPS35/DYNLRB2/IFT20/SRSF2/SUPT6H/SRSF1/DYNLL2/BIRC5/EIF4A3/ALYREF/SSB/WDR35/NUP35/SRSF7/TTC30B/CPSF3/U2AF1/IFT27/NUP50/RABL2B/RBM15B/THOC7/IFT57/NUP54/USP46/THOC3/STX7/IFT22/PCM1/TERF1/GLE1/RPGR	153
BP	GO:0015931	nucleobase-containing compound transport	140/6417	221/17913	5.75727102161362e-17	4.47267992491608e-14	3.89373329619658e-14	NUP153/MYO1C/SMG6/THOC2/CPSF1/NUP62/IGF2BP2/SLC35E2B/POM121/DDX39A/BICD2/ZC3H11A/NUP88/G3BP2/NUP210/SYMPK/DHX9/NUP58/TERF2/SLC25A42/U2AF2/KHSRP/SENP2/SLC29A1/POM121C/NUP93/SRSF11/RBM8A/HHEX/NUP107/IWS1/PNPT1/RANBP17/RIPK1/XPO5/NUP43/SRSF3/HNRNPA2B1/NXF1/CKAP5/AAAS/PARP11/SLC25A23/XPO1/SLC25A17/FYTTD1/ABCD1/NDC1/SLC29A3/SIDT2/SLC29A2/NUP37/CPSF6/CPSF2/SRSF5/DHX38/ABCC11/NUP85/EIF4E/SDAD1/NUP205/NCBP1/ALKBH5/IGF2BP3/XPO7/ARC/NCBP2/NUP133/HNRNPU/SFPQ/SLC35E2A/TPR/MAGOHB/SLC35E3/THOC6/NUTF2/SMG1/DDX19A/NCBP3/EIF5A/SLC25A19/SLC35B1/SEH1L/HNRNPA3/RANBP2/SRSF6/RAE1/MCM3AP/TST/RFTN1/SLC35A5/YTHDC1/NUP155/DDX39B/NUP42/NUP188/UPF3B/THOC5/SLC35E4/SIDT1/SLC25A24/PURA/NUP214/SMG5/SLC35D1/UPF2/RAN/P2RX7/UPF3A/PABPN1/SNUPN/SRSF2/SUPT6H/SRSF1/EIF4A3/ALYREF/SSB/NUP35/SRSF7/CPSF3/U2AF1/MX2/NUP50/RBM15B/TGFBR2/SLC33A1/THOC7/SLC25A4/NUP54/THOC3/SLC35A4/SLC35B3/MRPL18/SLC35A1/SLC35B4/SLC25A32/GLE1/NXT2/FMR1/GJB1	140
BP	GO:0051052	regulation of DNA metabolic process	225/6417	403/17913	1.05056638102082e-16	7.25474450893825e-14	6.31568561221876e-14	NVL/GRHL2/SPIDR/ATG7/PARN/TGFB1/AKT1/BMPR2/RTEL1/GPER1/PINX1/ATR/GATA3/DNMT1/SMOC2/PTGES3/SMG6/PRKDC/CCT3/BRCA1/MAPK1/NIBAN2/PNKP/GLI2/BABAM2/ATM/WT1/RAD52/SPIRE2/PPHLN1/ATF7IP/MSH6/TFRC/POLQ/PPP1R10/UBR5/FGFR1/EGFR/MBD3/SHLD1/NMNAT1/DHX9/PARP1/STOX1/TIPIN/SLX4/TERF2/FUS/ZNF91/ZRANB3/RNF168/SENP2/PDS5A/ANKRD17/CCT6A/TEX15/MAPK15/CHTF18/PDGFB/ZMPSTE24/TET1/NPAS2/EHMT2/HSP90AA1/RECQL5/XRN1/DEK/S100A11/GTPBP4/NABP2/APAF1/TP53BP1/SH2B1/CERS1/USP37/PCNA/CHEK2/PPARG/PPP4R2/DHX36/PAXIP1/HNRNPA2B1/UBE2V2/EXOSC3/PRKCD/KPNA1/GLI1/STAT6/TRIP12/FIGNL1/HMGB1/TFDP1/RFC3/INO80/RAD51/TICRR/CDC6/XRCC1/XRCC5/RIF1/DONSON/MCIDAS/DCP2/PKIB/RFC2/MYC/WRN/TTF1/TSPYL2/ZBTB38/SMCHD1/OGG1/PARP4/TEN1/DFFA/USP1/NEK7/HNRNPU/CACYBP/SLF2/CDK1/SHLD2/SMC3/DNA2/SPI1/CHEK1/PARPBP/TIGAR/UBE2N/BRCA2/PRMT5/BLM/NUDT16L1/SMG1/WRAP53/CTC1/MBD2/IL27RA/CCT7/UBE2V1/CCT8/TASOR/SETMAR/MLH1/SMARCAD1/RAD17/CCT5/TCP1/KDM1B/DDX39B/FBXO5/RNF8/HSP90AB1/MAP3K4/NBN/PAK3/GNL3L/DKC1/FOXP3/TNKS2/MEN1/DTX3L/PDGFRB/CYREN/SMG5/KDM1A/EXOSC10/RLF/RPA2/CDC7/UBQLN4/FBH1/WAPL/H2AFX/E2F8/KDM4D/FOXM1/CDK2/DDX11/CCT2/TIMELESS/RAD51AP1/RFC5/RGCC/MPHOSPH8/PIF1/RBBP6/EXOSC6/PPP4C/SUPT6H/MAP2K4/ATAD5/ALYREF/TRIM28/ZNF304/UCN/ACTR2/CCDC88A/NPPC/MIS18A/MORC2/PARP3/NUDT16/PIK3CA/CTNNB1/RFC4/PARP9/MAGEF1/OTUD4/ABRAXAS1/SLF1/FBXO4/RAD50/MRNIP/WRNIP1/GMNN/POT1/DSCC1/ESCO2/TERF1/CDK9/ENDOG/BRCC3/SMC1A/USP51	225
BP	GO:0006261	DNA-dependent DNA replication	91/6417	130/17913	1.98821185772413e-15	1.23567366957555e-12	1.07572725775811e-12	ATG7/RTEL1/TONSL/CDK2AP1/POLD1/PNKP/POLA2/SAMHD1/FGFR1/POLD3/BAZ1A/TIPIN/TERF2/ZRANB3/SENP2/LRWD1/MCMDC2/CHTF18/ZMPSTE24/CENPX/MCMBP/POLE/GINS3/RFWD3/PCNA/CHEK2/RFC1/MCM9/POLA1/RFC3/POLE2/INO80/RAD51/TICRR/CDC6/DONSON/MCM5/RFC2/WRN/SMC3/DNA2/PRIM1/BRCA2/BLM/POLG/GINS2/RPA1/ORC2/GEN1/MCM6/SETMAR/MCM3/FBXO5/MMS22L/MCM4/NBN/MCM2/PURA/REV3L/CENPS/RPA2/CDC7/FBH1/TWNK/E2F8/FEN1/CDK2/DDX11/RFC5/RPAIN/ATAD5/ALYREF/CCNE1/POLE4/SMARCAL1/ETAA1/GINS1/MGME1/RFC4/GMNC/PRIMPOL/WRNIP1/GMNN/MCM7/POLD2/CCNE2/DSCC1/TERF1/POLE3/CDK9/SMC1A	91
