gene_id	gene_name	npeaks_ve	npeaks_tx	npeaks_diff	fpkm_24h	fpkm_con	fpkm_diff
ENSG00000002822	MAD1L1	92	3	89	18.06	22.17	4.11
ENSG00000155093	PTPRN2	93	11	82	1.25	2.8	1.55
ENSG00000127663	KDM4B	80	16	64	24.46	26.25	1.79
ENSG00000146540	C7orf50	67	9	58	67.08	77.87	10.79
ENSG00000112787	FBRSL1	60	9	51	65.07	69.25	4.18000000000001
ENSG00000177565	TBL1XR1	56	6	50	131	136.53	5.53
ENSG00000141564	RPTOR	52	2	50	9.78	12.17	2.39
ENSG00000185989	RASA3	52	4	48	1.86	4.01	2.15
ENSG00000141556	TBCD	54	7	47	70.43	76.28	5.84999999999999
ENSG00000103222	ABCC1	59	15	44	26.05	31.74	5.69
ENSG00000181090	EHMT1	50	7	43	20.88	29.83	8.95
ENSG00000196557	CACNA1H	49	6	43	0.73	0.81	0.0800000000000001
ENSG00000104885	DOT1L	46	3	43	16.91	25.57	8.66
ENSG00000179588	ZFPM1	48	6	42	4.64	5.95	1.31
ENSG00000068024	HDAC4	44	2	42	3.23	3.47	0.24
ENSG00000103227	LMF1	43	1	42	6.94	8.21	1.27
ENSG00000266074	BAHCC1	47	6	41	5.28	8.14	2.86
ENSG00000126217	MCF2L	51	11	40	8.05	11.71	3.66
ENSG00000064932	SBNO2	46	10	36	47.38	52.7	5.32
ENSG00000113504	SLC12A7	41	5	36	16.67	19.67	3
ENSG00000162591	MEGF6	41	7	34	1.51	2.23	0.72
ENSG00000054118	THRAP3	49	16	33	63.18	78.3	15.12
ENSG00000149527	PLCH2	40	7	33	1.3	1.58	0.28
ENSG00000151150	ANK3	40	7	33	107.44	136.61	29.17
ENSG00000155111	CDK19	41	9	32	19.14	21.8	2.66
ENSG00000187609	EXD3	40	8	32	3.05	3.31	0.26
ENSG00000143748	NVL	38	6	32	51.61	54.97	3.36
ENSG00000154358	OBSCN	32	0	32	3.15	6.39	3.24
ENSG00000067113	PLPP1	32	0	32	268.6	382.71	114.11
ENSG00000159842	ABR	43	13	30	26.9	30.24	3.34
ENSG00000178209	PLEC	38	8	30	28.17	29.12	0.949999999999999
ENSG00000188191	PRKAR1B	33	3	30	13.18	20.32	7.14
ENSG00000125257	ABCC4	50	21	29	31.41	52.41	21
ENSG00000186111	PIP5K1C	34	5	29	13.45	16.53	3.08
ENSG00000075043	KCNQ2	31	2	29	37.69	39.19	1.5
ENSG00000182095	TNRC18	30	1	29	16.52	20.45	3.93
ENSG00000130653	PNPLA7	38	10	28	4.59	6	1.41
ENSG00000177706	FAM20C	33	5	28	0.14	0.36	0.22
ENSG00000151240	DIP2C	31	4	27	3.71	4.08	0.37
ENSG00000100014	SPECC1L	30	3	27	33.7	33.74	0.0399999999999991
ENSG00000065000	AP3D1	26	0	26	81.63	92.75	11.12
