gene_id	gene_name	npeaks_ve	npeaks_tx	npeaks_diff	fpkm_sh4	fpkm_sh5	fpkm_sicon	fpkm_diff_sh4	fpkm_diff_sh5
ENSG00000131149	GSE1	151	58	93	110.27	66.9	119.03	8.76000000000001	52.13
ENSG00000155093	PTPRN2	93	11	82	1.31	1.26	1.82	0.51	0.56
ENSG00000142611	PRDM16	60	4	56	1.47	0.59	1.54	0.0700000000000001	0.95
ENSG00000112787	FBRSL1	60	9	51	42.26	38.86	67.29	25.03	28.43
ENSG00000278540	ACACA	53	10	43	169.3	176.76	191.14	21.84	14.38
ENSG00000104885	DOT1L	46	3	43	15.12	15.71	23.17	8.05	7.46
ENSG00000126217	MCF2L	51	11	40	11.87	12.37	12.8	0.930000000000001	0.430000000000001
ENSG00000064932	SBNO2	46	10	36	33.82	37.04	44.28	10.46	7.24
ENSG00000149527	PLCH2	40	7	33	1.78	2.16	2.27	0.49	0.11
ENSG00000067113	PLPP1	32	0	32	322.43	363.36	380.07	57.64	16.71
ENSG00000178209	PLEC	38	8	30	21.63	28.98	30.05	8.42	1.07
ENSG00000188191	PRKAR1B	33	3	30	15.32	18.53	18.54	3.22	0.00999999999999801
ENSG00000257923	CUX1	36	7	29	22.68	24.66	27.86	5.18	3.2
ENSG00000186111	PIP5K1C	34	5	29	13.8	17.57	17.58	3.78	0.00999999999999801
ENSG00000063169	BICRA	32	3	29	5.91	5.78	7.63	1.72	1.85
ENSG00000182095	TNRC18	30	1	29	18.53	18.68	23.82	5.29	5.14
ENSG00000133315	MACROD1	34	6	28	93.01	52.43	149.22	56.21	96.79
ENSG00000177706	FAM20C	33	5	28	0.04	0.19	0.43	0.39	0.24
ENSG00000164880	INTS1	28	1	27	50.78	59.74	69.55	18.77	9.81
ENSG00000141298	SSH2	28	2	26	48.52	32.28	50.34	1.82	18.06
ENSG00000175711	B3GNTL1	27	2	25	3.23	3.15	3.97	0.74	0.82
ENSG00000142599	RERE	31	7	24	15.01	11.55	17.35	2.34	5.8
ENSG00000162337	LRP5	31	7	24	63.85	55.37	68.95	5.1	13.58
ENSG00000184640	SEPTIN9	30	6	24	97.72	100.94	101.79	4.07000000000001	0.850000000000009
ENSG00000141568	FOXK2	27	3	24	29.51	21.14	36	6.49	14.86
ENSG00000130382	MLLT1	41	18	23	109.73	86.73	136.08	26.35	49.35
ENSG00000062716	VMP1	28	5	23	62.68	60.7	71.48	8.8	10.78
ENSG00000145743	FBXL17	24	1	23	32.8	34.02	34.98	2.18	0.959999999999994
ENSG00000087116	ADAMTS2	23	0	23	0.09	0.18	0.26	0.17	0.08
ENSG00000105738	SIPA1L3	29	7	22	12.51	13.12	15.78	3.27	2.66
ENSG00000182979	MTA1	28	6	22	65.74	56.83	97.6	31.86	40.77
ENSG00000141012	GALNS	22	0	22	7.87	7.57	8.82	0.95	1.25
ENSG00000008441	NFIX	39	18	21	189.05	435.16	520.23	331.18	85.07
ENSG00000108175	ZMIZ1	29	8	21	21.28	46.75	48.32	27.04	1.57
ENSG00000272168	CASC15	26	5	21	0.33	0.16	0.38	0.05	0.22
ENSG00000107331	ABCA2	26	5	21	86.42	73.81	87.51	1.09	13.7
ENSG00000096060	FKBP5	30	10	20	85.93	79.2	124.65	38.72	45.45
ENSG00000142156	COL6A1	22	2	20	57.51	60.75	75.17	17.66	14.42
ENSG00000103326	CAPN15	20	0	20	26.53	33.46	39.02	12.49	5.56
ENSG00000160007	ARHGAP35	22	3	19	28.08	28.79	32.54	4.46	3.75
ENSG00000066230	SLC9A3	21	2	19	1.51	2.37	2.52	1.01	0.15
ENSG00000141959	PFKL	20	1	19	53.35	51	58.95	5.6	7.95
ENSG00000005206	SPPL2B	19	0	19	19.35	17.92	20.92	1.57	3
ENSG00000130699	TAF4	19	0	19	14.25	16.83	19.19	4.94	2.36
ENSG00000083307	GRHL2	38	20	18	41.89	40.66	45.64	3.75	4.98
ENSG00000254732	AP001931.1	25	7	18	1.39	1.11	1.66	0.27	0.55
ENSG00000159692	CTBP1	25	7	18	76.31	71.11	83.4	7.09	12.29
ENSG00000079313	REXO1	21	3	18	11.08	10.47	16.74	5.66	6.27
ENSG00000279765	AC013394.1	20	2	18	0.26	0.07	1.3	1.04	1.23
ENSG00000114861	FOXP1	20	2	18	10.98	10.94	12.07	1.09	1.13
ENSG00000099814	CEP170B	18	0	18	18.62	25.24	28.62	10	3.38
ENSG00000131653	TRAF7	18	0	18	17.01	47.26	52.44	35.43	5.18
ENSG00000103249	CLCN7	18	0	18	7.75	5.03	7.96	0.21	2.93
ENSG00000167291	TBC1D16	31	14	17	16.78	17.63	17.97	1.19	0.34
ENSG00000165238	WNK2	25	8	17	25.66	43.13	57.05	31.39	13.92
ENSG00000170653	ATF7	20	3	17	17.13	12.93	18.6	1.47	5.67
ENSG00000233695	GAS6-AS1	20	3	17	5.4	7.53	10.93	5.53	3.4
ENSG00000116151	MORN1	18	1	17	3.73	3.34	3.78	0.0499999999999998	0.44
ENSG00000110713	NUP98	18	1	17	53.45	46.13	60.85	7.4	14.72
ENSG00000177694	NAALADL2	33	17	16	5.83	6.58	9.25	3.42	2.67
ENSG00000138771	SHROOM3	26	10	16	41.97	57.65	58.07	16.1	0.420000000000002
ENSG00000183049	CAMK1D	20	4	16	0.95	1.03	1.15	0.2	0.12
